[001] Train 0.033959 | Val 0.017532 | lr 1.00e-03
[002] Train 0.016457 | Val 0.024774 | lr 1.00e-03
[003] Train 0.013397 | Val 0.020337 | lr 1.00e-03
[004] Train 0.011720 | Val 0.009217 | lr 1.00e-03
[005] Train 0.010429 | Val 0.006103 | lr 1.00e-03
[006] Train 0.009806 | Val 0.013868 | lr 1.00e-03
[007] Train 0.009043 | Val 0.008951 | lr 1.00e-03
[008] Train 0.007997 | Val 0.007594 | lr 1.00e-03
Epoch     9: reducing learning rate of group 0 to 5.0000e-04.
[009] Train 0.007778 | Val 0.007681 | lr 5.00e-04
[010] Train 0.007183 | Val 0.005694 | lr 5.00e-04
[011] Train 0.007082 | Val 0.007696 | lr 5.00e-04
[012] Train 0.007022 | Val 0.005975 | lr 5.00e-04
[013] Train 0.006919 | Val 0.005737 | lr 5.00e-04
[014] Train 0.006898 | Val 0.005500 | lr 5.00e-04
[015] Train 0.006892 | Val 0.006289 | lr 5.00e-04
[016] Train 0.006761 | Val 0.006387 | lr 5.00e-04
[017] Train 0.006729 | Val 0.005629 | lr 5.00e-04
Epoch    18: reducing learning rate of group 0 to 2.5000e-04.
[018] Train 0.006751 | Val 0.005583 | lr 2.50e-04
[019] Train 0.006537 | Val 0.005576 | lr 2.50e-04
[020] Train 0.006437 | Val 0.004811 | lr 2.50e-04
[021] Train 0.006381 | Val 0.005698 | lr 2.50e-04
[022] Train 0.006391 | Val 0.005602 | lr 2.50e-04
[023] Train 0.006346 | Val 0.005276 | lr 2.50e-04
Epoch    24: reducing learning rate of group 0 to 1.2500e-04.
[024] Train 0.006365 | Val 0.005662 | lr 1.25e-04
[025] Train 0.006193 | Val 0.004876 | lr 1.25e-04
[026] Train 0.006177 | Val 0.005454 | lr 1.25e-04
[027] Train 0.006263 | Val 0.005290 | lr 1.25e-04
Epoch    28: reducing learning rate of group 0 to 6.2500e-05.
[028] Train 0.006153 | Val 0.005287 | lr 6.25e-05
[029] Train 0.006068 | Val 0.004876 | lr 6.25e-05
[030] Train 0.006068 | Val 0.005340 | lr 6.25e-05
[031] Train 0.006131 | Val 0.005014 | lr 6.25e-05
Epoch    32: reducing learning rate of group 0 to 3.1250e-05.
[032] Train 0.006099 | Val 0.004982 | lr 3.13e-05
[033] Train 0.006011 | Val 0.005135 | lr 3.13e-05
[034] Train 0.006073 | Val 0.005197 | lr 3.13e-05
[035] Train 0.006058 | Val 0.005107 | lr 3.13e-05
⏹  Early‑Stopping after 35 epochs (no improve for 15).
Best model saved to best_cnn_lstm.pth
Test RMSE = 0.3630,  MAE = 0.1939
Saved prediction_results.csv
Saved loss_lr_curve.png


Window 00:  RMSE=1.0008  MAE=0.6294
Window 01:  RMSE=0.4081  MAE=0.2302
Window 02:  RMSE=1.3176  MAE=0.8952
Window 03:  RMSE=0.6845  MAE=0.4195
Window 04:  RMSE=0.8986  MAE=0.6194
Window 05:  RMSE=1.8610  MAE=1.0511
Window 06:  RMSE=1.3328  MAE=0.9159
Window 07:  RMSE=1.2004  MAE=0.7025
Window 08:  RMSE=1.4601  MAE=1.2654
Window 09:  RMSE=1.3792  MAE=0.9385
Window 10:  RMSE=1.5907  MAE=1.2994
Window 11:  RMSE=0.6231  MAE=0.5096
Window 12:  RMSE=0.5347  MAE=0.3259
Window 13:  RMSE=0.7192  MAE=0.5292
Window 14:  RMSE=1.2452  MAE=0.9920
Window 15:  RMSE=0.5847  MAE=0.3595
Window 16:  RMSE=0.5754  MAE=0.3924
Window 17:  RMSE=0.8925  MAE=0.5588
Window 18:  RMSE=1.7089  MAE=1.2727
Window 19:  RMSE=2.0028  MAE=1.5052
Window 20:  RMSE=1.6436  MAE=1.1740
Window 21:  RMSE=3.1130  MAE=2.1460
Window 22:  RMSE=1.1001  MAE=0.7919
Window 23:  RMSE=1.0323  MAE=0.5010
Window 24:  RMSE=0.9792  MAE=0.6981
Window 25:  RMSE=1.3763  MAE=1.0319
Window 26:  RMSE=0.7466  MAE=0.5770
Window 27:  RMSE=0.5770  MAE=0.2588
Window 28:  RMSE=0.4720  MAE=0.2636
Window 29:  RMSE=1.2335  MAE=0.5602
Window 30:  RMSE=1.2340  MAE=0.8191
Window 31:  RMSE=1.6094  MAE=1.1011
Window 32:  RMSE=1.5919  MAE=1.2433
Window 33:  RMSE=1.1016  MAE=0.6424
Window 34:  RMSE=0.7671  MAE=0.5635
Window 35:  RMSE=0.4544  MAE=0.2102
Window 36:  RMSE=0.5559  MAE=0.4111
Window 37:  RMSE=0.7940  MAE=0.6908
Window 38:  RMSE=1.2271  MAE=0.7567
Window 39:  RMSE=1.2098  MAE=0.7403
Window 40:  RMSE=0.9453  MAE=0.5481
Window 41:  RMSE=0.6659  MAE=0.4427
Window 42:  RMSE=1.1256  MAE=0.8750
Window 43:  RMSE=0.9889  MAE=0.8423
Window 44:  RMSE=0.9177  MAE=0.6298
Window 45:  RMSE=1.2711  MAE=0.9364
Window 46:  RMSE=1.4491  MAE=0.9033
Window 47:  RMSE=1.7570  MAE=1.3105
Window 48:  RMSE=1.5309  MAE=1.2041
Window 49:  RMSE=1.3956  MAE=1.0655
Window 50:  RMSE=1.0161  MAE=0.6737
Window 51:  RMSE=0.6459  MAE=0.4912
Window 52:  RMSE=1.1505  MAE=0.7613
Window 53:  RMSE=0.9327  MAE=0.7593
Window 54:  RMSE=1.1765  MAE=0.6809
